ID,Title,Authors,Year,Venue,Publisher,DOI,Research_Problem,Dataset,Models,XAI_Methods,Balancing_Method,Eval_Metrics,Main_Findings,Limitations,Relation_to_Our_Work,Citation_Location,Theme
P01,"Random Forests","Breiman L.",2001,"Machine Learning vol.45(1) pp.5-32","Springer","10.1023/A:1010933404324","Ensemble learning via bagged decision trees","UCI benchmarks","Random Forest","None","None","Accuracy; OOB error","Random Forest outperforms single trees; built-in feature importance via Gini impurity","No XAI beyond Gini importance; no imbalance handling","Foundation for our RF classifier","Related Work — Model","Random Forest"
P02,"SMOTE: Synthetic Minority Over-sampling Technique","Chawla NV; Bowyer KW; Hall LO; Kegelmeyer WP",2002,"Journal of Artificial Intelligence Research vol.16 pp.321-357","JAIR","10.1613/jair.953","Class imbalance in binary classification","UCI benchmarks","Various","None","SMOTE","F1; G-mean; ROC AUC","SMOTE interpolation generates effective minority samples; improves minority-class recall","Does not address multiclass NIDS; no XAI; no feature attribution analysis","Foundation for our SMOTE rebalancing step","Related Work — Balancing; Introduction","SMOTE"
P03,"Scikit-learn: Machine Learning in Python","Pedregosa F et al.",2011,"JMLR vol.12 pp.2825-2830","JMLR","10.5555/1953048.2078195","Python machine learning library","N/A","Many","None","None","N/A","Unified API for ML in Python; integrated with NumPy/SciPy","N/A","Library used for RF; preprocessing; evaluation in our experiments","Experimental Setup","Tooling"
P04,"UNSW-NB15: A Comprehensive Data Set for Network Intrusion Detection Systems","Moustafa N; Slay J",2015,"MilCIS 2015","IEEE","10.1109/MilCIS.2015.7348942","NIDS benchmark dataset creation","UNSW-NB15 (new)","N/A","None","None","Accuracy; attack categorisation","Dataset with 9 modern attack types from controlled testbed; 175k training / 82k test split","Single environment; potential concept drift","Primary dataset in our study","Methodology — Dataset; Introduction","UNSW-NB15"
P05,"""Why Should I Trust You?"": Explaining the Predictions of Any Classifier","Ribeiro MT; Singh S; Guestrin C",2016,"KDD 2016 pp.1135-1144","ACM","10.1145/2939672.2939778","Post-hoc local interpretable explanations","Text; tabular; image benchmarks","Any (model-agnostic)","LIME","None","Fidelity; human trust","LIME produces locally faithful linear approximations; model-agnostic; applicable to any classifier","Stochastic sampling causes instability across runs; computationally expensive","LIME used for secondary XAI in our study","Related Work — XAI Methods; Methodology","XAI Foundation"
P06,"Imbalanced-learn: A Python Toolbox to Tackle the Curse of Imbalanced Datasets in Machine Learning","Lemaître G; Nogueira F; Aridas CK",2017,"JMLR vol.18(17) pp.1-5","JMLR","JMLR:v18:16-365","Python library for imbalanced learning","N/A","N/A","None","SMOTE and variants; undersampling","Pipeline integration","Comprehensive toolbox extending scikit-learn for imbalanced data","Library; not a study","Library used for SMOTE in our pipeline","Experimental Setup","Tooling"
P07,"A Unified Approach to Interpreting Model Predictions","Lundberg SM; Lee SI",2017,"NeurIPS 2017 pp.4766-4777","Curran Associates","N/A (NeurIPS proceedings)","Unified framework for feature attribution using Shapley values","Tabular; text; image","Any (model-agnostic + TreeSHAP)","SHAP","None","Consistency; accuracy; human agreement","SHAP unifies LIME; RISE; DeepLIFT under game-theoretic framework; TreeSHAP is exact and efficient","Global SHAP requires marginalisation over training data; correlated features can distort values","Primary XAI method (SHAP TreeExplainer) in our study","Related Work — XAI Methods; Methodology","XAI Foundation"
P08,"From Local Explanations to Global Understanding with Explainable AI for Trees","Lundberg SM; Erion G; Chen H et al.",2020,"Nature Machine Intelligence vol.2 pp.56-67","Nature","10.1038/s42256-019-0138-9","Scalable exact SHAP for tree ensembles; local-to-global explanations","Clinical (sepsis); Census; NHANES","Random Forest; XGBoost; LightGBM","SHAP (TreeExplainer)","None","Consistency; fidelity; feature interaction detection","TreeExplainer computes exact SHAP in polynomial time; enables global understanding from local explanations","Specific to tree models; SHAP values depend on feature correlation structure","Direct algorithmic basis for our SHAP TreeExplainer application","Related Work — XAI Methods; Methodology","XAI Foundation"
P09,"Explainability of SMOTE Based Oversampling for Imbalanced Dataset Problems","Patil A; Framewala A; Kazi F",2020,"IEEE ICICT 2020 pp.41-45","IEEE","10.1109/ICICT50521.2020.9092325 [verify]","Interpretability of SMOTE-generated data","Generic tabular (UCI)","Decision Tree; SVM","LIME; feature importance","SMOTE","Accuracy; class-level performance","SMOTE oversampling with interpretable models shows decision boundaries can shift; feature importance changes post-balancing","No SHAP; no Wilcoxon/statistical tests; no NIDS context; single dataset","Closest prior work to our study: examines SMOTE + explainability but not in NIDS; no effect-size analysis","Related Work — Gap; Introduction","SMOTE + Explainability"
P10,"Intrusion Detection Model for Imbalanced Dataset Using SMOTE and Random Forest Algorithm","Alshamy R; Ghurab M; Othman S; Alshami F",2021,"ACeS 2021 — CCIS vol.1487","Springer","10.1007/978-981-16-8059-5_22","Multi-class IDS with SMOTE+RF on imbalanced NSL-KDD","NSL-KDD","Random Forest; Logistic Regression; SVM; AdaBoost","None","SMOTE","Accuracy; precision; recall; F1","IDS-SMOTE-RF achieves high accuracy on NSL-KDD; outperforms LR/SVM/AdaBoost","No XAI; no UNSW-NB15; no explanation stability analysis","SMOTE+RF IDS without XAI — demonstrates gap our study addresses","Related Work — SMOTE + NIDS","SMOTE + NIDS"
P11,"Statistical Stability Indices for LIME: Obtaining Reliable Explanations for Machine Learning Models","Visani G; Bagli E; Chesani F; Poluzzi A; Capuzzo D",2022,"Journal of the Operational Research Society vol.73(1) pp.91-101","Taylor & Francis","10.1080/01605682.2020.1865846","LIME instability across repeated runs","Credit risk (tabular)","Logistic Regression; Random Forest","LIME","None","CSI (Coefficients Stability Index); VSI (Variables Stability Index)","LIME produces different explanations across runs; CSI and VSI quantify this instability; LIME is inherently stochastic","Validated only on credit risk data; not cybersecurity; no comparison with SHAP","Provides the stability-measurement framework we implicitly follow (Spearman correlation; top-k overlap)","Related Work — XAI Stability; Discussion","XAI Stability"
P12,"Explainable Artificial Intelligence for Cybersecurity: A Literature Survey","Charmet F; Tanuwidjaja HC; Ayoubi S; Gimenez PF; Han Y; Jmila H; Blanc G; Takahashi T; Zhang Z",2022,"Annals of Telecommunications vol.77(11-12) pp.789-812","Springer","10.1007/s12243-022-00926-7","Survey of XAI methods applied to cybersecurity tasks","Survey (multiple datasets)","Survey (many)","SHAP; LIME; and others","Survey","Fidelity; interpretability; trust","XAI methods are increasingly applied to NIDS; SHAP and LIME are dominant; explanation evaluation remains an open challenge","Survey — does not empirically compare explanation stability under distribution shift","Contextualises our work within the XAI-cybersecurity landscape; highlights gaps we address","Introduction; Related Work — XAI Cybersecurity","XAI Cybersecurity Survey"
P13,"Intrusion Detection System Combined Enhanced Random Forest with SMOTE Algorithm","Wu T; Fan H; Zhu H; You C; Zhou H; Huang X",2022,"EURASIP Journal on Advances in Signal Processing vol.2022 art.39","Springer (open access)","10.1186/s13634-022-00871-6","NIDS class imbalance with SMOTE+RF hybrid","NSL-KDD","Random Forest (enhanced with K-means SMOTE)","None","K-means SMOTE","Accuracy (99.72% training; 78.47% test); precision; recall","K-means SMOTE + enhanced RF improves minority-class detection; large train/test accuracy gap suggests overfitting","Train/test gap; no XAI; no UNSW-NB15","SMOTE+RF IDS — we extend this by adding SHAP/LIME analysis and UNSW-NB15","Related Work — SMOTE + NIDS","SMOTE + NIDS"
P14,"Effect of Data Resampling on Feature Importance in Imbalanced Blockchain Data: Comparison Studies of Resampling Techniques","Alarab I; Prakoonwit S",2022,"Data Science and Management vol.5(2) pp.66-76","Elsevier","10.1016/j.dsm.2022.04.003","How SMOTE and other resampling change feature importance rankings in imbalanced data","Elliptic (Bitcoin blockchain)","Random Forest; XGBoost","Feature importance (Gini; permutation)","SMOTE; ADASYN; ROS; RUS","Feature ranking overlap; accuracy; AUC","Resampling changes feature importance rankings; SMOTE produces largest feature rank shifts in this domain","Blockchain context only; no NIDS; no SHAP/LIME; no statistical tests; no effect-size analysis","Most closely related to our work in terms of resampling + feature importance; but no NIDS; no SHAP/LIME; no Wilcoxon tests","Related Work — SMOTE + Explainability; Gap","SMOTE + Explainability"
P15,"A Survey on Explainable Artificial Intelligence for Cybersecurity","Rjoub G; Bentahar J; Abdel Wahab O; Mizouni R; Song A; Cohen R et al.",2023,"IEEE Transactions on Network and Service Management vol.20(4) pp.5115-5140","IEEE","10.1109/TNSM.2023.3282740","Systematic survey of XAI for cybersecurity","Survey","Survey (many)","SHAP; LIME; and others","Survey","Coverage; citation analysis; trust; robustness","XAI methods improve transparency in cybersecurity; SHAP and LIME dominate NIDS XAI; explanation evaluation is under-studied","Survey — no empirical evaluation; no class imbalance focus","Strongest motivation source: identifies explanation evaluation under distribution shift as an open problem","Introduction; Related Work; Discussion","XAI Cybersecurity Survey"
P16,"Enhanced Intrusion Detection Systems Performance with UNSW-NB15 Data Analysis","More S; Idrissi M; Mahmoud H; Asyhari AT",2024,"Algorithms vol.17(2) art.64","MDPI","10.3390/a17020064","Comparative ML evaluation on UNSW-NB15","UNSW-NB15","Logistic Regression; SVM; Decision Tree; Random Forest","None (feature importance mentioned)","None","Accuracy; F1; FAR","Random Forest achieves best F1=97.80%; accuracy=98.63% on UNSW-NB15; feature correlation analysis used","No XAI; no class imbalance treatment; no minority-class analysis","Establishes RF as the dominant baseline on UNSW-NB15 — consistent with our model choice","Related Work — UNSW-NB15; Methodology","UNSW-NB15"
P17,"Explainable AI for Intrusion Detection Systems: LIME and SHAP Applicability on Multi-Layer Perceptron","Gaspar D; Silva P; Silva C",2024,"IEEE Access vol.12 pp.30164-30175","IEEE","10.1109/ACCESS.2024.3368377","Applying LIME and SHAP to explain MLP-based IDS for IoT","IoT traffic (specific dataset unverified — access full text to confirm)","MLP (Multi-Layer Perceptron)","LIME; SHAP","None","Fidelity; local accuracy; interpretability","LIME provides intuitive local explanations; SHAP provides consistent global rankings; both improve IDS transparency","No class imbalance treatment; MLP only (no tree models); no explanation stability under distribution shift","Most direct prior comparison: LIME+SHAP on IDS — but no SMOTE; no RF; no stability comparison across models","Related Work — XAI + NIDS","XAI + NIDS"
P18,"Enhanced Intrusion Detection with LSTM-Based Model Feature Selection and SMOTE for Imbalanced Data","Sayegh HR; Dong W; Al-madani AM",2024,"Applied Sciences vol.14(2) art.479","MDPI","10.3390/app14020479","IoT-NIDS with SMOTE for class imbalance using LSTM","IoT NIDS dataset","LSTM","None","SMOTE","Accuracy; precision; recall; F1","SMOTE + LSTM improves rare attack-class detection in IoT NIDS; feature selection reduces dimensionality","No XAI; no UNSW-NB15; no explanation analysis","SMOTE-based NIDS without XAI — reinforces the gap: rebalancing is common but its XAI effect is not studied","Related Work — SMOTE + NIDS","SMOTE + NIDS"
P19,"Addressing Class Imbalance in Intrusion Detection: A Comprehensive Evaluation of Machine Learning Approaches","Shanmugam V; Razavi-Far R; Hallaji E",2025,"Electronics vol.14(1) art.69","MDPI","10.3390/electronics14010069","Comprehensive ML evaluation under varying class imbalance levels in NIDS","NSL-KDD; CIC-IDS","RF; SVM; KNN; Naive Bayes; others","None","SMOTE; ADASYN; ROS; RUS; cost-sensitive","F1; G-mean","Resampling strategies vary in effectiveness depending on degree of imbalance; RF with SMOTE performs consistently","No XAI; no UNSW-NB15; no feature attribution analysis","Confirms SMOTE+RF as competitive baseline for imbalanced NIDS — our work adds the missing XAI layer","Related Work — Class Imbalance + NIDS","Class Imbalance + NIDS"
P20,"Explainable AI for Forensic Analysis: A Comparative Study of SHAP and LIME in Intrusion Detection Models","Hermosilla P; Berríos S; Allende-Cid H",2025,"Applied Sciences vol.15(13) art.7329","MDPI","10.3390/app15137329","Comparative SHAP and LIME analysis on IDS using UNSW-NB15","UNSW-NB15","XGBoost; TabNet","SHAP; LIME","None","Accuracy (97.8% XGBoost); fidelity; consistency; forensic relevance","XGBoost outperforms TabNet in explanation stability; SHAP and LIME are complementary; combined deployment recommended","No class imbalance treatment; no SMOTE; no statistical tests on explanations; no RF","Closest to our work in SHAP+LIME on UNSW-NB15 — but no balancing; no RF; no Wilcoxon/effect-size analysis","Related Work — XAI + NIDS; Discussion","XAI + NIDS"
P21,"Use of Explainable Artificial Intelligence for Analyzing and Explaining Intrusion Detection Systems","Hermosilla P; Díaz M; Berríos S; Allende-Cid H",2025,"Computers vol.14(5) art.160","MDPI","10.3390/computers14050160","XAI framework evaluation for IDS explanation analysis","UNSW-NB15","XGBoost; TabNet","SHAP; LIME","None","Accuracy; explanation consistency; fidelity","XAI methods improve understanding of IDS decisions; SHAP is more globally coherent; LIME more locally variable","No class imbalance handling; no statistical comparison; no SMOTE","Companion work to P20 — both complement our contribution by not addressing rebalancing effects","Related Work — XAI + NIDS","XAI + NIDS"
