class_name,precision_baseline,precision_smote,recall_baseline,recall_smote,f1_baseline,f1_smote,support_baseline,support_smote
Analysis,0.004695,0.034461,0.008863,0.163959,0.006138,0.056952,677,677
Backdoor,0.017274,0.049956,0.092624,0.48199,0.029118,0.090528,583,583
DoS,0.607868,0.531767,0.117144,0.149425,0.196432,0.233295,4089,4089
Exploits,0.625416,0.787512,0.777219,0.637891,0.693103,0.704849,11132,11132
Fuzzers,0.292655,0.275136,0.592214,0.627021,0.391729,0.382452,6062,6062
Generic,0.998528,0.998907,0.970855,0.968947,0.984497,0.983699,18871,18871
Normal,0.966765,0.977754,0.75473,0.690162,0.847689,0.809164,37000,37000
Reconnaissance,0.931343,0.887206,0.803204,0.821224,0.86254,0.852941,3496,3496
Shellcode,0.341935,0.186937,0.701058,0.878307,0.45967,0.308264,378,378
Worms,0.4375,0.366197,0.159091,0.590909,0.233333,0.452174,44,44
