model,class_name,count,mean_confidence,min_confidence,max_confidence
baseline,Analysis,1278,0.504155,0.195655,0.82
baseline,Backdoor,3126,0.644155,0.237023,0.99
baseline,DoS,788,0.514093,0.21,0.975
baseline,Exploits,13834,0.658349,0.2,1.0
baseline,Fuzzers,12267,0.641496,0.21,1.0
baseline,Generic,18348,0.977057,0.28,1.0
baseline,Normal,28885,0.89765,0.23,1.0
baseline,Reconnaissance,3015,0.918008,0.19,1.0
baseline,Shellcode,775,0.530611,0.21,1.0
baseline,Worms,16,0.482201,0.21,0.745
smote,Analysis,3221,0.564014,0.228463,0.98
smote,Backdoor,5625,0.661918,0.2,1.0
smote,DoS,1149,0.502963,0.18,1.0
smote,Exploits,9017,0.764838,0.206739,1.0
smote,Fuzzers,13815,0.681338,0.210267,1.0
smote,Generic,18305,0.97738,0.2675,1.0
smote,Normal,26117,0.92171,0.19,1.0
smote,Reconnaissance,3236,0.900978,0.25,1.0
smote,Shellcode,1776,0.639928,0.25,1.0
smote,Worms,71,0.63969,0.24,0.98
