split,feature,category,count,pct
training,proto,tcp,79946,45.5946
training,proto,udp,63283,36.0914
training,proto,unas,12084,6.8917
training,proto,arp,2859,1.6305
training,proto,ospf,2595,1.48
training,proto,sctp,1150,0.6559
training,proto,any,300,0.1711
training,proto,gre,225,0.1283
training,proto,ipv6,201,0.1146
training,proto,mobile,201,0.1146
training,proto,pim,201,0.1146
training,proto,swipe,201,0.1146
training,proto,sun-nd,201,0.1146
training,proto,rsvp,200,0.1141
training,proto,sep,193,0.1101
training,proto,ib,101,0.0576
training,proto,iplt,100,0.057
training,proto,cphb,100,0.057
training,proto,iso-ip,100,0.057
training,proto,sat-mon,100,0.057
training,proto,pri-enc,100,0.057
training,proto,kryptolan,100,0.057
training,proto,bna,100,0.057
training,proto,il,100,0.057
training,proto,xtp,100,0.057
training,proto,ipv6-route,100,0.057
training,proto,idrp,100,0.057
training,proto,3pc,100,0.057
training,proto,mfe-nsp,100,0.057
training,proto,vmtp,100,0.057
training,proto,dgp,100,0.057
training,proto,wb-mon,100,0.057
training,proto,cpnx,100,0.057
training,proto,pvp,100,0.057
training,proto,ipv6-frag,100,0.057
training,proto,wsn,100,0.057
training,proto,ddp,100,0.057
training,proto,snp,100,0.057
training,proto,ipv6-opts,100,0.057
training,proto,ax.25,100,0.057
training,proto,eigrp,100,0.057
training,proto,pgm,100,0.057
training,proto,idpr-cmtp,100,0.057
training,proto,pnni,100,0.057
training,proto,gmtp,100,0.057
training,proto,narp,100,0.057
training,proto,fc,100,0.057
training,proto,pipe,100,0.057
training,proto,ipcomp,100,0.057
training,proto,ipv6-no,100,0.057
training,proto,sat-expak,100,0.057
training,proto,zero,100,0.057
training,proto,rvd,100,0.057
training,proto,sccopmce,100,0.057
training,proto,aes-sp3-d,100,0.057
training,proto,ipcv,100,0.057
training,proto,br-sat-mon,100,0.057
training,proto,nsfnet-igp,100,0.057
training,proto,sprite-rpc,100,0.057
training,proto,ttp,100,0.057
training,proto,tcf,100,0.057
training,proto,etherip,100,0.057
training,proto,aris,100,0.057
training,proto,scps,100,0.057
training,proto,qnx,100,0.057
training,proto,compaq-peer,100,0.057
training,proto,wb-expak,100,0.057
training,proto,mtp,100,0.057
training,proto,cftp,100,0.057
training,proto,vines,100,0.057
training,proto,uti,100,0.057
