split,class_name,count,pct,imbalance_ratio
training,Normal,56000,31.9378,1.0
training,Generic,40000,22.8127,1.4
training,Exploits,33393,19.0446,1.677
training,Fuzzers,18184,10.3706,3.0796
training,DoS,12264,6.9944,4.5662
training,Reconnaissance,10491,5.9832,5.3379
training,Analysis,2000,1.1406,28.0
training,Backdoor,1746,0.9958,32.0733
training,Shellcode,1133,0.6462,49.4263
training,Worms,130,0.0741,430.7692
testing,Normal,37000,44.94,1.0
testing,Generic,18871,22.9206,1.9607
testing,Exploits,11132,13.5209,3.3238
testing,Fuzzers,6062,7.3629,6.1036
testing,DoS,4089,4.9665,9.0487
testing,Reconnaissance,3496,4.2462,10.5835
testing,Analysis,677,0.8223,54.6529
testing,Backdoor,583,0.7081,63.4648
testing,Shellcode,378,0.4591,97.8836
testing,Worms,44,0.0534,840.9091
