,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst
dur,1.0,0.2545592139644737,0.1811820736514789,0.19973115313354467,0.14413377795045734,-0.12096639785751423,0.012195731243528152,0.044158806631087406,-0.08174932777848541,-0.05060280982239316,0.1985974270227183,0.14296286061590455,0.08005478228107604,0.15214174946155007,0.14441309085341913,0.1574431916257455,0.022047196568700883,0.013182768039913176,0.014724496883065314,0.017527416589927115,0.05312467630153719,0.05109273957294994,0.04933152304564056,0.09002756851395949,0.025335859390116466,0.002070823011605758,0.0789152089178386,-0.1137094791215288,0.18629347567520876,-0.08630007628356633,-0.09409084744420212,-0.09392305696919727,-0.101759653924583,0.02064114432701033,0.02064114432701033,0.02474275626929239,-0.080871404132728,-0.11533641837775309
spkts,0.2545592139644737,1.0,0.3900673336427541,0.9637905453658627,0.20660854883107113,-0.07635848887242137,-0.10272253128231243,0.06824643498573235,-0.05164555300065395,0.07589714955698487,0.9710686917738107,0.20779760733970296,-0.017586900590851922,-0.0016783621564143254,-0.0003843660260020867,0.017096146203211735,0.13181274754610078,0.10741012715952929,0.10216058755401361,0.13310169195513202,0.03918661847298854,0.03550689255832622,0.038725339094160725,0.21659160151573414,0.15023718914893583,0.008834406041955586,0.08721719224498814,-0.06912675307094626,-0.08616987657309148,-0.060194215892593765,-0.06837252804479046,-0.07248398276416722,-0.07755315204622779,0.00995085335607183,0.00995085335607183,0.0060836473361464615,-0.0615842073070787,-0.06959837295503576
dpkts,0.1811820736514789,0.3900673336427541,1.0,0.1884756897991203,0.9719070079919281,-0.09820172595073741,-0.19257972521357994,0.053860798136968556,-0.06670962936988271,0.1391450988641123,0.20488293697696783,0.9786363765709863,-0.0221599437348745,-0.0065144797702016395,0.00022901073785305335,0.05437073352874482,0.18370293952258698,0.14411880733440482,0.14266724408092646,0.1855550620878609,0.020914777521110702,0.015935628207801134,0.02389915928154007,0.014697086913375295,0.44144456005886146,0.029041992587623328,0.44219392237801664,-0.07909532222832402,-0.15002326264913418,-0.07190902642880061,-0.08669452430923262,-0.09426667665247855,-0.09408487488720846,0.013490670489541558,0.013490670489541558,0.04797437835418174,-0.07518990188604316,-0.07834166539767137
sbytes,0.19973115313354467,0.9637905453658627,0.1884756897991203,1.0,0.009925805172048033,-0.02846782955572802,-0.020860376154101797,0.06300870651792967,-0.018322429094822252,-0.007828654258028412,0.9961094729148002,0.006804145095521266,-0.006565299037265671,2.389568997020864e-05,-0.0020535643740452396,-0.0035164216148638214,0.050449829259529406,0.043163819540462396,0.03798751105576111,0.05098140505170484,0.04362390367774649,0.03973928669277655,0.04288348198733334,0.23234838906967784,-0.004973334102698394,0.003428113540745105,0.0016201325782401173,-0.034394774740183036,-0.012053051757889451,-0.02666080809103765,-0.026489956206996065,-0.027281462635280213,-0.03206092398361709,-0.00451504134047373,-0.00451504134047373,-0.0021846821575385107,-0.027478820907564244,-0.03455311540646176
dbytes,0.14413377795045734,0.20660854883107113,0.9719070079919281,0.009925805172048033,1.0,-0.059474712054240965,-0.1355151870099393,0.023558872720887032,-0.04043011008306092,0.10475710663214262,0.017366392234573112,0.9965035947623478,-0.013617875799480436,-0.007700527045477952,-0.0024218932657647974,0.04735388647376816,0.11314812142778012,0.08689442690065292,0.08645281270496481,0.11426884947302196,0.0039072239841310644,0.00010144828640491752,0.007545751806055195,-0.03663521905386057,0.4199651071988956,0.030912137810931575,0.4709052067599683,-0.04552931694484309,-0.08994359176620716,-0.042632910236113736,-0.052134785305048274,-0.056901128370982657,-0.05463344419634001,-0.010460456828903836,-0.010460456828903836,0.05140283836350033,-0.045593726731439875,-0.04453053335123098
rate,-0.12096639785751423,-0.07635848887242137,-0.09820172595073741,-0.02846782955572802,-0.059474712054240965,1.0,0.4075716659428118,-0.414545718801428,0.6024917209489805,-0.15305101501320034,-0.0429232450388954,-0.07525881219277157,-0.0757453843838864,-0.0515388447916007,-0.06337009835342021,-0.08580232170565028,-0.5156805239704272,-0.4087495411370394,-0.4090462666970533,-0.5181167101712193,-0.3007938745422091,-0.279270890719711,-0.29005059042723674,-0.11323197512627944,-0.2733233004979605,-0.07855573990605226,-0.02275187330006288,0.35770365443189,0.43153426037990794,0.3172294309887481,0.3535885722161648,0.39072147985428757,0.3830938276752135,-0.0681399488713343,-0.0681399488713343,-0.10929713007984758,0.3108764759312431,0.3628828423261443
sttl,0.012195731243528152,-0.10272253128231243,-0.19257972521357994,-0.020860376154101797,-0.1355151870099393,0.4075716659428118,1.0,-0.03282339954780616,0.2764753359758946,-0.39743055419661816,-0.04466728563623139,-0.1626284259676109,-0.206571211460439,-0.003215486696388221,0.02267590758698892,-0.12343529025583724,-0.4168434026798799,-0.3373053006430103,-0.33411412637783966,-0.4243202290970141,0.03977713040388611,0.042589758081623776,0.03229337657062061,-0.010028843647243279,-0.5503894995829526,-0.06390374922534137,-0.05045413658382137,0.3460790945263132,0.6723247538867887,0.271382991905279,0.34410367850907675,0.3799297487880336,0.4043458256620795,-0.12415723691174338,-0.12415723691174338,-0.11283280735912157,0.27325195319754964,0.3406780104156931
dttl,0.044158806631087406,0.06824643498573235,0.053860798136968556,0.06300870651792967,0.023558872720887032,-0.414545718801428,-0.03282339954780616,1.0,-0.28042741021431805,-0.1164208138034633,0.0751663872538341,0.035476464269358486,-0.08189648718588005,0.09799948595146525,0.14740140901532603,0.10126156407981153,0.7462465503881848,0.5927892500488867,0.5967704444227657,0.7540175796097222,0.8073405596752501,0.7469996936368721,0.7812614669727019,0.19436665768879227,0.14018448969333316,0.15245024241216323,0.01642510045626034,-0.4173378502004275,-0.262362240471765,-0.3816783022276459,-0.3663082951389474,-0.3894292394011594,-0.4034652274199721,0.10720832205349148,0.10720832205349148,0.22365176243049162,-0.3654039613338972,-0.43118820377237177
sload,-0.08174932777848541,-0.05164555300065395,-0.06670962936988271,-0.018322429094822252,-0.04043011008306092,0.6024917209489805,0.2764753359758946,-0.28042741021431805,1.0,-0.10629380334187985,-0.028891398188404405,-0.05117039341550497,-0.0487565938535646,-0.03484008883910538,-0.04244685030491498,-0.05802137591488255,-0.3524044469724278,-0.2771688803868495,-0.2773578981490677,-0.3513107548300722,-0.20329536802121384,-0.18875318288838105,-0.19602967123539575,0.22385616546068807,-0.18643869998008133,-0.05311495157689048,-0.015418844848779567,0.1382917824261319,0.2901356028938358,0.0764705956217489,0.1001178209915542,0.08246213528357668,0.1550304922083806,-0.046194257605285116,-0.046194257605285116,-0.07392024651681676,0.08441238975623401,0.1411683992528909
dload,-0.05060280982239316,0.07589714955698487,0.1391450988641123,-0.007828654258028412,0.10475710663214262,-0.15305101501320034,-0.39743055419661816,-0.1164208138034633,-0.10629380334187985,1.0,0.008099953419702762,0.12314654507228466,-0.03764908692053918,-0.02432354754380964,-0.02945911544506953,-0.03296592516365418,0.2706926163780949,0.2152566905344514,0.2116983424587438,0.27365122547100657,-0.13549718922199708,-0.12518417025245204,-0.13131949612805308,-0.08398962976291607,0.5506015865127344,-0.027110199018749878,0.024878085912682094,-0.08058234750876311,-0.3731467873346582,-0.10095349566996573,-0.14357324758422368,-0.1534288764834984,-0.16119219337508406,-0.02780962323341305,-0.02780962323341305,-0.0392462539115513,-0.09814887126784681,-0.0872471661984296
