split,feature_1,feature_2,correlation
training,is_ftp_login,ct_ftp_cmd,1.0
training,dbytes,dloss,0.9965
training,sbytes,sloss,0.9961
training,swin,dwin,0.9901
training,ct_srv_src,ct_srv_dst,0.9803
training,dpkts,dloss,0.9786
training,ct_dst_src_ltm,ct_srv_dst,0.9724
training,dpkts,dbytes,0.9719
training,spkts,sloss,0.9711
training,ct_srv_src,ct_dst_src_ltm,0.9671
training,spkts,sbytes,0.9638
training,ct_dst_ltm,ct_src_dport_ltm,0.9621
training,tcprtt,synack,0.9495
training,tcprtt,ackdat,0.9418
training,ct_src_dport_ltm,ct_dst_sport_ltm,0.9068
training,ct_src_dport_ltm,ct_src_ltm,0.8974
training,ct_dst_ltm,ct_src_ltm,0.8861
training,ct_dst_ltm,ct_dst_sport_ltm,0.8706
training,ct_src_dport_ltm,ct_dst_src_ltm,0.8699
training,ct_src_dport_ltm,ct_srv_dst,0.8689
training,ct_srv_src,ct_src_dport_ltm,0.866
training,ct_dst_ltm,ct_srv_dst,0.8526
training,ct_dst_ltm,ct_dst_src_ltm,0.8523
training,ct_srv_src,ct_dst_ltm,0.8413
training,ct_dst_sport_ltm,ct_dst_src_ltm,0.8387
training,ct_dst_sport_ltm,ct_srv_dst,0.8302
training,ct_srv_src,ct_dst_sport_ltm,0.8236
training,dttl,tcprtt,0.8073
training,ct_dst_sport_ltm,ct_src_ltm,0.803
testing,dbytes,dloss,0.9971
testing,sbytes,sloss,0.995
testing,is_ftp_login,ct_ftp_cmd,0.9943
testing,dpkts,dloss,0.9815
testing,ct_srv_src,ct_srv_dst,0.9778
testing,dpkts,dbytes,0.9764
testing,spkts,sloss,0.9736
testing,spkts,sbytes,0.9657
testing,ct_dst_ltm,ct_src_dport_ltm,0.9604
testing,swin,dwin,0.9601
testing,ct_dst_src_ltm,ct_srv_dst,0.941
testing,tcprtt,synack,0.9395
testing,ct_srv_src,ct_dst_src_ltm,0.9338
testing,ct_src_dport_ltm,ct_src_ltm,0.9332
testing,ct_dst_ltm,ct_src_ltm,0.9323
testing,ct_src_dport_ltm,ct_dst_sport_ltm,0.9116
testing,tcprtt,ackdat,0.8977
testing,ct_src_dport_ltm,ct_dst_src_ltm,0.876
testing,ct_dst_ltm,ct_dst_sport_ltm,0.8722
testing,ct_dst_ltm,ct_dst_src_ltm,0.8682
testing,ct_src_dport_ltm,ct_srv_dst,0.8636
testing,ct_srv_src,ct_src_dport_ltm,0.8555
testing,ct_dst_ltm,ct_srv_dst,0.8552
testing,ct_dst_sport_ltm,ct_src_ltm,0.8473
testing,ct_srv_src,ct_dst_ltm,0.8422
testing,ct_dst_src_ltm,ct_src_ltm,0.84
testing,ct_dst_sport_ltm,ct_dst_src_ltm,0.831
testing,ct_srv_src,ct_src_ltm,0.8225
testing,ct_src_ltm,ct_srv_dst,0.8224
testing,ct_dst_sport_ltm,ct_srv_dst,0.811
testing,ct_srv_src,ct_dst_sport_ltm,0.8012
