split,column,skewness,kurtosis,skew_category,heavy_tailed
training,dur,7.4961,58.6089,highly_skewed,True
training,spkts,40.2177,1964.3529,highly_skewed,True
training,dpkts,36.7641,2465.5193,highly_skewed,True
training,sbytes,45.3034,2314.8802,highly_skewed,True
training,dbytes,39.7609,2735.8311,highly_skewed,True
training,rate,3.3195,14.2117,highly_skewed,True
training,sttl,-0.6781,-1.5014,moderately_skewed,False
training,dttl,0.895,-1.1499,moderately_skewed,False
training,sload,8.7034,129.5326,highly_skewed,True
training,dload,4.6912,22.8,highly_skewed,True
training,sloss,44.7537,2277.9603,highly_skewed,True
training,dloss,41.3803,2942.8671,highly_skewed,True
training,sinpkt,7.9175,61.2269,highly_skewed,True
training,dinpkt,29.6795,1158.2687,highly_skewed,True
training,sjit,17.6522,350.5599,highly_skewed,True
training,djit,29.5438,1336.1511,highly_skewed,True
training,swin,0.177,-1.9686,approximately_symmetric,False
training,stcpb,1.0811,-0.317,highly_skewed,False
training,dtcpb,1.081,-0.3163,highly_skewed,False
training,dwin,0.1968,-1.9613,approximately_symmetric,False
training,tcprtt,4.0384,51.2834,highly_skewed,True
training,synack,5.7863,117.9604,highly_skewed,True
training,ackdat,5.6156,107.7264,highly_skewed,True
training,smean,3.7266,14.1607,highly_skewed,True
training,dmean,2.8261,7.6825,highly_skewed,True
training,trans_depth,167.3358,34407.8538,highly_skewed,True
training,response_body_len,76.3401,7750.9782,highly_skewed,True
training,ct_srv_src,1.5212,1.3411,highly_skewed,False
training,ct_state_ttl,0.9284,4.4658,moderately_skewed,True
training,ct_dst_ltm,2.0501,4.0141,highly_skewed,True
training,ct_src_dport_ltm,2.1712,4.4268,highly_skewed,True
training,ct_dst_sport_ltm,1.6965,1.9381,highly_skewed,False
training,ct_dst_src_ltm,1.5554,1.3151,highly_skewed,False
training,is_ftp_login,9.9432,144.4131,highly_skewed,True
training,ct_ftp_cmd,9.9432,144.4131,highly_skewed,True
training,ct_flw_http_mthd,23.4514,839.6701,highly_skewed,True
training,ct_src_ltm,1.8421,3.0951,highly_skewed,True
training,ct_srv_dst,1.529,1.3221,highly_skewed,False
testing,dur,9.5238,100.2946,highly_skewed,True
testing,spkts,47.7478,2789.7648,highly_skewed,True
testing,dpkts,49.3041,3833.6111,highly_skewed,True
testing,sbytes,53.7785,3304.8586,highly_skewed,True
testing,dbytes,52.5504,4175.5027,highly_skewed,True
testing,rate,3.4995,16.7238,highly_skewed,True
testing,sttl,-0.6904,-1.4821,moderately_skewed,False
testing,dttl,0.5752,-1.6342,moderately_skewed,False
testing,sload,9.4884,155.564,highly_skewed,True
testing,dload,4.7539,22.7508,highly_skewed,True
testing,sloss,52.4653,3181.5036,highly_skewed,True
testing,dloss,54.4656,4435.8334,highly_skewed,True
testing,sinpkt,9.2741,85.243,highly_skewed,True
testing,dinpkt,23.013,669.6823,highly_skewed,True
testing,sjit,15.3494,254.0875,highly_skewed,True
testing,djit,60.5623,6850.2986,highly_skewed,True
testing,swin,-0.0936,-1.9912,approximately_symmetric,False
testing,stcpb,0.9164,-0.6482,moderately_skewed,False
testing,dtcpb,0.9301,-0.6152,moderately_skewed,False
testing,dwin,-0.0123,-1.9998,approximately_symmetric,False
testing,tcprtt,9.0603,176.5366,highly_skewed,True
testing,synack,13.8097,375.9464,highly_skewed,True
testing,ackdat,9.6287,235.311,highly_skewed,True
testing,smean,3.5441,12.7631,highly_skewed,True
testing,dmean,3.1068,9.6855,highly_skewed,True
testing,trans_depth,170.7944,41053.0643,highly_skewed,True
testing,response_body_len,74.6352,9071.1068,highly_skewed,True
testing,ct_srv_src,1.8564,2.7575,highly_skewed,False
testing,ct_state_ttl,1.5222,5.5394,highly_skewed,True
testing,ct_dst_ltm,2.667,7.1349,highly_skewed,True
testing,ct_src_dport_ltm,2.8568,8.0642,highly_skewed,True
testing,ct_dst_sport_ltm,2.5068,5.177,highly_skewed,True
testing,ct_dst_src_ltm,2.189,3.7158,highly_skewed,True
testing,is_ftp_login,11.0423,122.683,highly_skewed,True
testing,ct_ftp_cmd,11.2432,130.6784,highly_skewed,True
testing,ct_flw_http_mthd,12.5577,228.1797,highly_skewed,True
testing,ct_src_ltm,2.4373,6.1029,highly_skewed,True
testing,ct_srv_dst,1.8989,2.8838,highly_skewed,False
