split,column,outlier_count,outlier_pct,extreme_outlier_count,extreme_outlier_pct,coefficient_of_variation
training,dur,15741,8.9774,9889,5.6399,4.767
training,spkts,24675,14.0726,17937,10.2298,6.7437
training,dpkts,20830,11.8797,16404,9.3555,5.8124
training,sbytes,22873,13.0449,13908,7.932,19.759
training,dbytes,28131,16.0436,22341,12.7415,9.6225
training,rate,17340,9.8893,5589,3.1875,1.7337
training,sttl,0,0.0,0,0.0,0.5733
training,dttl,0,0.0,0,0.0,1.3881
training,sload,13518,7.7095,7404,4.2226,2.5643
training,dload,38143,21.7536,34314,19.5699,3.6074
training,sloss,11467,6.5398,8641,4.9281,13.3263
training,dloss,28388,16.1902,18220,10.3912,7.5897
training,sinpkt,14788,8.4339,9390,5.3553,7.3452
training,dinpkt,14096,8.0392,5220,2.9771,11.1895
training,sjit,18033,10.2845,6907,3.9392,9.0361
training,djit,20574,11.7337,15985,9.1165,6.7196
training,swin,0,0.0,0,0.0,1.0924
training,stcpb,0,0.0,0,0.0,1.3983
training,dtcpb,0,0.0,0,0.0,1.3975
training,dwin,0,0.0,0,0.0,1.1032
training,tcprtt,15878,9.0555,2395,1.3659,1.917
training,synack,31462,17.9433,12516,7.1381,2.0646
training,ackdat,8290,4.7279,1289,0.7351,1.988
training,smean,20725,11.8198,17637,10.0587,1.4967
training,dmean,23359,13.322,20526,11.7063,2.0803
training,trans_depth,17840,10.1745,17840,10.1745,7.3306
training,response_body_len,11294,6.4412,11294,6.4412,25.2801
training,ct_srv_src,19390,11.0585,1292,0.7368,1.1502
training,ct_state_ttl,1930,1.1007,1930,1.1007,0.7318
training,ct_dst_ltm,22152,12.6337,7826,4.4633,1.3001
training,ct_src_dport_ltm,33423,19.0617,12542,7.1529,1.4948
training,ct_dst_sport_ltm,37337,21.2939,33097,18.8758,1.375
training,ct_dst_src_ltm,17752,10.1243,659,0.3758,1.255
training,is_ftp_login,2567,1.464,2567,1.464,8.4324
training,ct_ftp_cmd,2567,1.464,2567,1.464,8.4324
training,ct_flw_http_mthd,17840,10.1745,17840,10.1745,5.2696
training,ct_src_ltm,13140,7.494,6309,3.5981,1.1963
training,ct_srv_dst,19341,11.0305,1221,0.6964,1.182
testing,dur,5868,7.1272,3356,4.0762,4.6788
testing,spkts,10196,12.384,7451,9.0499,7.1742
testing,dpkts,8907,10.8184,6472,7.8609,6.5869
testing,sbytes,9270,11.2593,7030,8.5386,21.4716
testing,dbytes,12308,14.9492,9669,11.7439,11.4458
testing,rate,6201,7.5317,2244,2.7256,1.8034
testing,sttl,0,0.0,0,0.0,0.5609
testing,dttl,0,0.0,0,0.0,1.2189
testing,sload,6715,8.156,4747,5.7657,2.7864
testing,dload,18112,21.9987,16800,20.4052,3.7951
testing,sloss,5499,6.6791,3838,4.6616,13.5999
testing,dloss,11272,13.6909,7806,9.4811,8.8306
testing,sinpkt,5668,6.8843,3437,4.1746,8.1846
testing,dinpkt,4717,5.7292,1715,2.083,10.6193
testing,sjit,6321,7.6775,2279,2.7681,8.9146
testing,djit,8573,10.4127,6647,8.0734,6.7927
testing,swin,0,0.0,0,0.0,0.9543
testing,stcpb,0,0.0,0,0.0,1.2823
testing,dtcpb,0,0.0,0,0.0,1.2874
testing,dwin,0,0.0,0,0.0,0.9938
testing,tcprtt,2020,2.4535,596,0.7239,2.0746
testing,synack,2954,3.5879,718,0.8721,2.4219
testing,ackdat,2480,3.0122,618,0.7506,2.0658
testing,smean,11928,14.4877,9194,11.167,1.4941
testing,dmean,9902,12.0269,8882,10.788,2.1036
testing,trans_depth,7582,9.2091,7582,9.2091,5.7588
testing,response_body_len,5657,6.871,5657,6.871,23.8609
testing,ct_srv_src,10093,12.2589,3279,3.9827,1.1617
testing,ct_state_ttl,1833,2.2264,1804,2.1911,0.7794
testing,ct_dst_ltm,10479,12.7277,5875,7.1357,1.4653
testing,ct_src_dport_ltm,11476,13.9387,9663,11.7366,1.7021
testing,ct_dst_sport_ltm,10907,13.2476,9858,11.9735,1.6149
testing,ct_dst_src_ltm,12789,15.5334,10774,13.086,1.5309
testing,is_ftp_login,678,0.8235,678,0.8235,11.0063
testing,ct_ftp_cmd,680,0.8259,680,0.8259,11.0355
testing,ct_flw_http_mthd,7580,9.2066,7580,9.2066,4.9227
testing,ct_src_ltm,9579,11.6346,3971,4.8232,1.3209
testing,ct_srv_dst,10040,12.1945,3235,3.9292,1.2136
