column,category,encoded_value
proto,3pc,0
proto,a/n,1
proto,aes-sp3-d,2
proto,any,3
proto,argus,4
proto,aris,5
proto,arp,6
proto,ax.25,7
proto,bbn-rcc,8
proto,bna,9
proto,br-sat-mon,10
proto,cbt,11
proto,cftp,12
proto,chaos,13
proto,compaq-peer,14
proto,cphb,15
proto,cpnx,16
proto,crtp,17
proto,crudp,18
proto,dcn,19
proto,ddp,20
proto,ddx,21
proto,dgp,22
proto,egp,23
proto,eigrp,24
proto,emcon,25
proto,encap,26
proto,etherip,27
proto,fc,28
proto,fire,29
proto,ggp,30
proto,gmtp,31
proto,gre,32
proto,hmp,33
proto,i-nlsp,34
proto,iatp,35
proto,ib,36
proto,icmp,37
proto,idpr,38
proto,idpr-cmtp,39
proto,idrp,40
proto,ifmp,41
proto,igmp,42
proto,igp,43
proto,il,44
proto,ip,45
proto,ipcomp,46
proto,ipcv,47
proto,ipip,48
proto,iplt,49
proto,ipnip,50
proto,ippc,51
proto,ipv6,52
proto,ipv6-frag,53
proto,ipv6-no,54
proto,ipv6-opts,55
proto,ipv6-route,56
proto,ipx-n-ip,57
proto,irtp,58
proto,isis,59
proto,iso-ip,60
proto,iso-tp4,61
proto,kryptolan,62
proto,l2tp,63
proto,larp,64
proto,leaf-1,65
proto,leaf-2,66
proto,merit-inp,67
proto,mfe-nsp,68
proto,mhrp,69
proto,micp,70
proto,mobile,71
proto,mtp,72
proto,mux,73
proto,narp,74
proto,netblt,75
proto,nsfnet-igp,76
proto,nvp,77
proto,ospf,78
proto,pgm,79
proto,pim,80
proto,pipe,81
proto,pnni,82
proto,pri-enc,83
proto,prm,84
proto,ptp,85
proto,pup,86
proto,pvp,87
proto,qnx,88
proto,rdp,89
proto,rsvp,90
proto,rtp,91
proto,rvd,92
proto,sat-expak,93
proto,sat-mon,94
proto,sccopmce,95
proto,scps,96
proto,sctp,97
proto,sdrp,98
proto,secure-vmtp,99
proto,sep,100
proto,skip,101
proto,sm,102
proto,smp,103
proto,snp,104
proto,sprite-rpc,105
proto,sps,106
proto,srp,107
proto,st2,108
proto,stp,109
proto,sun-nd,110
proto,swipe,111
proto,tcf,112
proto,tcp,113
proto,tlsp,114
proto,tp++,115
proto,trunk-1,116
proto,trunk-2,117
proto,ttp,118
proto,udp,119
proto,unas,120
proto,uti,121
proto,vines,122
proto,visa,123
proto,vmtp,124
proto,vrrp,125
proto,wb-expak,126
proto,wb-mon,127
proto,wsn,128
proto,xnet,129
proto,xns-idp,130
proto,xtp,131
proto,zero,132
service,-,0
service,dhcp,1
service,dns,2
service,ftp,3
service,ftp-data,4
service,http,5
service,irc,6
service,pop3,7
service,radius,8
service,smtp,9
service,snmp,10
service,ssh,11
service,ssl,12
state,CON,0
state,ECO,1
state,FIN,2
state,INT,3
state,PAR,4
state,REQ,5
state,RST,6
state,URN,7
state,no,8
