pair,metric,value
SHAP_baseline_vs_SHAP_smote,overlap_top_5,0.8
SHAP_baseline_vs_SHAP_smote,overlap_top_10,0.8
SHAP_baseline_vs_SHAP_smote,jaccard_top_5,0.666667
SHAP_baseline_vs_SHAP_smote,jaccard_top_10,0.666667
SHAP_baseline_vs_SHAP_smote,spearman_correlation,0.900008
SHAP_baseline_vs_SHAP_smote,kendall_tau,0.732869
LIME_baseline_vs_LIME_smote,overlap_top_5,0.6
LIME_baseline_vs_LIME_smote,overlap_top_10,0.6
LIME_baseline_vs_LIME_smote,jaccard_top_5,0.428571
LIME_baseline_vs_LIME_smote,jaccard_top_10,0.428571
LIME_baseline_vs_LIME_smote,spearman_correlation,0.564994
LIME_baseline_vs_LIME_smote,kendall_tau,0.390476
SHAP_baseline_vs_LIME_baseline,overlap_top_5,0.2
SHAP_baseline_vs_LIME_baseline,overlap_top_10,0.5
SHAP_baseline_vs_LIME_baseline,jaccard_top_5,0.111111
SHAP_baseline_vs_LIME_baseline,jaccard_top_10,0.333333
SHAP_baseline_vs_LIME_baseline,spearman_correlation,0.409563
SHAP_baseline_vs_LIME_baseline,kendall_tau,0.271693
SHAP_smote_vs_LIME_smote,overlap_top_5,0.2
SHAP_smote_vs_LIME_smote,overlap_top_10,0.6
SHAP_smote_vs_LIME_smote,jaccard_top_5,0.111111
SHAP_smote_vs_LIME_smote,jaccard_top_10,0.428571
SHAP_smote_vs_LIME_smote,spearman_correlation,0.476091
SHAP_smote_vs_LIME_smote,kendall_tau,0.334282
