method,feature,baseline_rank,smote_rank,rank_change,baseline_value,smote_value
LIME,dinpkt,14,35,-21,0.012352,0.007027
LIME,spkts,4,23,-19,0.022067,0.01279
LIME,dloss,30,12,18,0.004277,0.017672
LIME,dpkts,37,19,18,0.001371,0.015054
SHAP,trans_depth,35,18,17,0.000975,0.004596
LIME,state,23,6,17,0.009157,0.022356
LIME,ct_srv_dst,26,10,16,0.008735,0.019299
LIME,is_sm_ips_ports,9,25,-16,0.014108,0.012396
LIME,dbytes,28,14,14,0.006872,0.017404
LIME,sttl,1,15,-14,0.042042,0.016967
SHAP,state,26,38,-12,0.002699,0.00137
SHAP,dttl,8,19,-11,0.008575,0.003967
SHAP,swin,25,36,-11,0.002775,0.002288
LIME,rate,24,34,-10,0.009048,0.008036
LIME,ackdat,27,37,-10,0.007238,0.00554
LIME,dmean,21,11,10,0.009811,0.019154
LIME,ct_srv_src,18,27,-9,0.011439,0.011592
SHAP,ct_state_ttl,9,17,-8,0.008312,0.004873
SHAP,dinpkt,31,23,8,0.002152,0.003758
LIME,ct_dst_src_ltm,15,7,8,0.011797,0.020945
LIME,tcprtt,38,30,8,0.00068,0.009939
SHAP,stcpb,37,30,7,0.000852,0.002927
LIME,sload,25,32,-7,0.008824,0.008954
LIME,sjit,10,17,-7,0.013497,0.015786
LIME,ct_flw_http_mthd,33,26,7,0.002368,0.01175
LIME,ct_ftp_cmd,16,22,-6,0.011641,0.013284
SHAP,ct_dst_ltm,22,28,-6,0.003496,0.003308
SHAP,dur,19,25,-6,0.004865,0.003683
SHAP,ct_dst_src_ltm,6,1,5,0.011541,0.020378
SHAP,ct_flw_http_mthd,34,29,5,0.001061,0.003076
SHAP,rate,17,22,-5,0.005354,0.003825
SHAP,dmean,14,9,5,0.00606,0.008054
SHAP,ct_src_dport_ltm,18,13,5,0.004904,0.006177
LIME,djit,36,31,5,0.001732,0.008985
SHAP,sloss,20,15,5,0.003691,0.00535
LIME,sloss,13,18,-5,0.01264,0.015289
LIME,service,6,1,5,0.020309,0.027653
LIME,dur,19,24,-5,0.01064,0.012504
SHAP,sinpkt,28,24,4,0.002419,0.003694
SHAP,spkts,24,20,4,0.002804,0.00395
SHAP,sttl,2,6,-4,0.017435,0.011852
SHAP,tcprtt,30,34,-4,0.002222,0.002387
LIME,dload,17,13,4,0.011493,0.01763
SHAP,ackdat,27,31,-4,0.002525,0.002759
SHAP,djit,33,37,-4,0.00164,0.002057
SHAP,proto,11,7,4,0.007605,0.010289
LIME,sinpkt,12,16,-4,0.012848,0.016741
LIME,trans_depth,32,28,4,0.00279,0.010358
SHAP,response_body_len,36,33,3,0.000958,0.002603
SHAP,dtcpb,38,35,3,0.000783,0.002374
LIME,swin,8,5,3,0.017911,0.022985
SHAP,synack,23,26,-3,0.003007,0.003633
SHAP,dbytes,13,11,2,0.006158,0.006964
LIME,ct_src_dport_ltm,22,20,2,0.009715,0.014345
LIME,proto,5,3,2,0.020402,0.02582
LIME,response_body_len,31,33,-2,0.003736,0.008801
LIME,sbytes,11,9,2,0.01289,0.01958
SHAP,sload,16,14,2,0.005765,0.005927
SHAP,dloss,29,27,2,0.002365,0.003475
SHAP,ct_ftp_cmd,42,41,1,3.9e-05,1.3e-05
SHAP,ct_dst_sport_ltm,7,8,-1,0.010009,0.009412
SHAP,dload,15,16,-1,0.005843,0.004893
SHAP,is_sm_ips_ports,39,40,-1,0.000617,0.000155
SHAP,is_ftp_login,41,42,-1,6.3e-05,1.2e-05
SHAP,dwin,40,39,1,0.000399,0.001047
LIME,ct_dst_sport_ltm,3,4,-1,0.022349,0.023141
LIME,ct_state_ttl,7,8,-1,0.01943,0.020094
SHAP,sbytes,1,2,-1,0.018471,0.019053
SHAP,smean,3,4,-1,0.014983,0.014972
SHAP,service,4,3,1,0.012591,0.016707
LIME,smean,20,21,-1,0.0099,0.014307
SHAP,ct_srv_dst,5,5,0,0.011754,0.013307
SHAP,dpkts,21,21,0,0.003604,0.003916
SHAP,sjit,32,32,0,0.002106,0.00269
SHAP,ct_src_ltm,12,12,0,0.006442,0.006358
SHAP,ct_srv_src,10,10,0,0.007731,0.00729
LIME,dttl,2,2,0,0.029139,0.026008
LIME,is_ftp_login,29,29,0,0.006564,0.010347
