feature,mean_abs_weight,appearance_count
sttl,0.042042,53
dttl,0.029139,28
ct_dst_sport_ltm,0.022349,24
spkts,0.022067,3
proto,0.020402,30
service,0.020309,53
ct_state_ttl,0.01943,34
swin,0.017911,16
is_sm_ips_ports,0.014108,20
sjit,0.013497,7
sbytes,0.01289,30
sinpkt,0.012848,4
sloss,0.01264,16
dinpkt,0.012352,1
ct_dst_src_ltm,0.011797,27
ct_ftp_cmd,0.011641,3
dload,0.011493,21
ct_srv_src,0.011439,16
dur,0.01064,12
smean,0.0099,25
dmean,0.009811,28
ct_src_dport_ltm,0.009715,18
state,0.009157,2
rate,0.009048,20
sload,0.008824,13
ct_srv_dst,0.008735,35
ackdat,0.007238,4
dbytes,0.006872,9
is_ftp_login,0.006564,6
dloss,0.004277,1
response_body_len,0.003736,9
trans_depth,0.00279,13
ct_flw_http_mthd,0.002368,7
ct_src_ltm,0.001957,5
synack,0.001786,1
djit,0.001732,1
dpkts,0.001371,3
tcprtt,0.00068,2
