feature,mean_abs_weight,appearance_count
service,0.027653,60
dttl,0.026008,24
proto,0.02582,22
ct_dst_sport_ltm,0.023141,23
swin,0.022985,7
state,0.022356,2
ct_dst_src_ltm,0.020945,41
ct_state_ttl,0.020094,9
sbytes,0.01958,24
ct_srv_dst,0.019299,29
dmean,0.019154,24
dloss,0.017672,4
dload,0.01763,23
dbytes,0.017404,22
sttl,0.016967,15
sinpkt,0.016741,3
sjit,0.015786,3
sloss,0.015289,18
dpkts,0.015054,5
ct_src_dport_ltm,0.014345,29
smean,0.014307,23
ct_ftp_cmd,0.013284,22
spkts,0.01279,6
dur,0.012504,1
is_sm_ips_ports,0.012396,23
ct_flw_http_mthd,0.01175,16
ct_srv_src,0.011592,22
trans_depth,0.010358,26
is_ftp_login,0.010347,25
tcprtt,0.009939,1
djit,0.008985,1
sload,0.008954,11
response_body_len,0.008801,11
rate,0.008036,7
dinpkt,0.007027,6
stcpb,0.00622,8
ackdat,0.00554,2
ct_dst_ltm,0.004362,2
