scope,class_name,accuracy,precision,recall,f1_score,support,average_type
overall,ALL,0.754348,0.522398,0.4977,0.470425,82332,macro
overall,ALL,0.754348,0.841144,0.754348,0.778033,82332,weighted
per_class,Analysis,,0.004695,0.008863,0.006138,677,
per_class,Backdoor,,0.017274,0.092624,0.029118,583,
per_class,DoS,,0.607868,0.117144,0.196432,4089,
per_class,Exploits,,0.625416,0.777219,0.693103,11132,
per_class,Fuzzers,,0.292655,0.592214,0.391729,6062,
per_class,Generic,,0.998528,0.970855,0.984497,18871,
per_class,Normal,,0.966765,0.75473,0.847689,37000,
per_class,Reconnaissance,,0.931343,0.803204,0.86254,3496,
per_class,Shellcode,,0.341935,0.701058,0.45967,378,
per_class,Worms,,0.4375,0.159091,0.233333,44,
