feature,mean_abs_shap,mean_abs_shap_Analysis,mean_abs_shap_Backdoor,mean_abs_shap_DoS,mean_abs_shap_Exploits,mean_abs_shap_Fuzzers,mean_abs_shap_Generic,mean_abs_shap_Normal,mean_abs_shap_Reconnaissance,mean_abs_shap_Shellcode,mean_abs_shap_Worms
sbytes,0.018471,0.004437,0.011119,0.016227,0.027119,0.021032,0.050339,0.013513,0.02461,0.01226,0.004055
sttl,0.017435,0.002025,0.006923,0.016711,0.024827,0.017294,0.008213,0.079437,0.008552,0.003143,0.007221
smean,0.014983,0.003857,0.009807,0.014305,0.025877,0.014961,0.027183,0.014182,0.023862,0.011661,0.004132
service,0.012591,0.002503,0.004285,0.005765,0.010665,0.021368,0.046023,0.019596,0.005245,0.007477,0.002988
ct_srv_dst,0.011754,0.004589,0.007289,0.009239,0.020193,0.020527,0.014751,0.020842,0.011572,0.007199,0.001341
ct_dst_src_ltm,0.011541,0.004199,0.009394,0.006998,0.013594,0.020643,0.013986,0.0184,0.012678,0.014165,0.001355
ct_dst_sport_ltm,0.010009,0.006004,0.006323,0.006673,0.011942,0.010041,0.034404,0.014939,0.005118,0.004026,0.00062
dttl,0.008575,0.001028,0.00386,0.007673,0.023828,0.005519,0.002113,0.037184,0.00224,0.001104,0.001201
ct_state_ttl,0.008312,0.001435,0.002623,0.004896,0.017314,0.008151,0.004441,0.038738,0.002981,0.00146,0.00108
ct_srv_src,0.007731,0.003316,0.007368,0.00736,0.015238,0.011739,0.012502,0.010531,0.005564,0.002935,0.00076
proto,0.007605,0.005108,0.010441,0.009613,0.014365,0.01124,0.006744,0.007848,0.004606,0.005969,0.000113
ct_src_ltm,0.006442,0.005552,0.019095,0.010734,0.014692,0.002875,0.005103,0.002641,0.00249,0.001036,0.000205
dbytes,0.006158,0.002301,0.004796,0.007424,0.011138,0.007836,0.003337,0.013941,0.005358,0.002935,0.002516
dmean,0.00606,0.00171,0.004119,0.004793,0.01205,0.009999,0.002762,0.012019,0.008392,0.002385,0.002376
dload,0.005843,0.001609,0.00257,0.005271,0.007657,0.010372,0.002361,0.018784,0.005729,0.001983,0.002093
sload,0.005765,0.002611,0.007015,0.005484,0.007777,0.008232,0.00344,0.012142,0.005776,0.003583,0.001592
rate,0.005354,0.002253,0.005396,0.004546,0.00779,0.004001,0.008779,0.012498,0.004548,0.002929,0.000799
ct_src_dport_ltm,0.004904,0.002192,0.004734,0.00326,0.005091,0.006637,0.015447,0.004631,0.003487,0.003296,0.000263
dur,0.004865,0.001886,0.005233,0.004561,0.008102,0.005057,0.007252,0.008839,0.003981,0.002625,0.001111
sloss,0.003691,0.000788,0.002169,0.004748,0.005907,0.00413,0.001611,0.013716,0.001958,0.000975,0.000911
dpkts,0.003604,0.001126,0.002214,0.00309,0.005584,0.003646,0.00254,0.010788,0.003434,0.00192,0.0017
ct_dst_ltm,0.003496,0.002558,0.005529,0.003956,0.005364,0.00318,0.009399,0.002025,0.001451,0.001263,0.000237
synack,0.003007,0.000949,0.001995,0.004893,0.0049,0.005837,0.000939,0.006927,0.001708,0.001272,0.000653
spkts,0.002804,0.000696,0.001569,0.002755,0.003818,0.007523,0.004213,0.002309,0.002442,0.001496,0.001215
swin,0.002775,0.000758,0.001591,0.003939,0.003503,0.001746,0.002274,0.012314,0.000947,0.000483,0.000197
state,0.002699,0.00078,0.001283,0.003067,0.003107,0.002661,0.001159,0.011465,0.002313,0.000923,0.000237
ackdat,0.002525,0.00036,0.0012,0.002236,0.005148,0.004322,0.000804,0.008328,0.001044,0.000984,0.000821
sinpkt,0.002419,0.001428,0.003402,0.002968,0.003467,0.003278,0.002599,0.003692,0.001518,0.00139,0.00045
dloss,0.002365,0.000421,0.001053,0.002402,0.006045,0.003503,0.001455,0.001957,0.003247,0.001514,0.002057
tcprtt,0.002222,0.000421,0.001276,0.002393,0.003537,0.005338,0.001159,0.005333,0.001221,0.000956,0.000582
dinpkt,0.002152,0.000643,0.001355,0.002677,0.003601,0.004325,0.002087,0.003467,0.001408,0.000792,0.001165
sjit,0.002106,0.000309,0.001233,0.002952,0.002804,0.004118,0.001353,0.002116,0.004023,0.001535,0.00062
djit,0.00164,0.000337,0.000882,0.002315,0.002602,0.004042,0.001439,0.002296,0.000849,0.000668,0.000966
ct_flw_http_mthd,0.001061,0.000961,0.000272,0.00061,0.001561,0.001038,0.000416,0.002415,0.00126,0.001159,0.000921
trans_depth,0.000975,0.00065,0.000261,0.000572,0.001847,0.001025,0.000628,0.001792,0.00128,0.000923,0.000773
response_body_len,0.000958,0.001431,0.000369,0.000865,0.002731,0.000821,0.000914,0.000481,0.000435,5.3e-05,0.00148
stcpb,0.000852,0.000414,0.000505,0.001677,0.001418,0.001365,0.000407,0.001403,0.000583,0.000392,0.000361
dtcpb,0.000783,0.000224,0.000521,0.001488,0.001705,0.000907,0.000319,0.001394,0.00046,0.000502,0.000308
is_sm_ips_ports,0.000617,6.7e-05,0.000178,0.000673,0.001055,0.000569,0.000115,0.003087,0.00032,0.0001,9e-06
dwin,0.000399,0.000169,0.000273,0.000544,0.000536,0.000358,0.000192,0.001449,0.000266,0.000177,3.1e-05
is_ftp_login,6.3e-05,5e-06,1.3e-05,0.000175,0.000184,3.5e-05,4.4e-05,7.8e-05,2.4e-05,1e-06,6.5e-05
ct_ftp_cmd,3.9e-05,3e-06,1.3e-05,0.000106,0.000132,1e-05,4e-05,4.2e-05,7e-06,1e-05,2.5e-05
