feature,mean_abs_shap,mean_abs_shap_Analysis,mean_abs_shap_Backdoor,mean_abs_shap_DoS,mean_abs_shap_Exploits,mean_abs_shap_Fuzzers,mean_abs_shap_Generic,mean_abs_shap_Normal,mean_abs_shap_Reconnaissance,mean_abs_shap_Shellcode,mean_abs_shap_Worms
ct_dst_src_ltm,0.020378,0.019849,0.023177,0.010001,0.010557,0.036326,0.010421,0.016279,0.017746,0.046397,0.013024
sbytes,0.019053,0.01517,0.022275,0.010714,0.012885,0.028426,0.022427,0.010061,0.029379,0.020508,0.01868
service,0.016707,0.007377,0.014537,0.005014,0.013235,0.021681,0.028209,0.008795,0.012757,0.029769,0.025699
smean,0.014972,0.013082,0.01702,0.009108,0.012633,0.01691,0.018895,0.010487,0.023938,0.015609,0.012036
ct_srv_dst,0.013307,0.011224,0.01405,0.010316,0.010222,0.025016,0.009526,0.013783,0.011601,0.018217,0.009113
sttl,0.011852,0.003002,0.009345,0.008785,0.016886,0.015616,0.002587,0.037204,0.006408,0.005369,0.013316
proto,0.010289,0.011655,0.029203,0.013362,0.005954,0.010045,0.003762,0.00421,0.005786,0.017129,0.001783
ct_dst_sport_ltm,0.009412,0.012092,0.014641,0.007244,0.004506,0.020348,0.014113,0.006725,0.004035,0.008233,0.002186
dmean,0.008054,0.004706,0.00948,0.007245,0.014105,0.007042,0.002316,0.007288,0.012161,0.012106,0.004085
ct_srv_src,0.00729,0.007188,0.008676,0.006855,0.005941,0.014467,0.007961,0.006569,0.004746,0.0047,0.005801
dbytes,0.006964,0.003957,0.006749,0.004627,0.011571,0.008117,0.001835,0.006375,0.007394,0.012576,0.006438
ct_src_ltm,0.006358,0.008129,0.021682,0.012229,0.006663,0.004098,0.002564,0.001444,0.003207,0.00183,0.001731
ct_src_dport_ltm,0.006177,0.003209,0.006709,0.003872,0.003061,0.013147,0.008329,0.005054,0.003117,0.011055,0.004216
sload,0.005927,0.004895,0.011671,0.003647,0.004901,0.006864,0.002499,0.005394,0.008002,0.008237,0.00316
sloss,0.00535,0.003773,0.010097,0.004683,0.004689,0.006008,0.001066,0.013633,0.002087,0.003578,0.003887
dload,0.004893,0.003169,0.004036,0.004288,0.005808,0.007036,0.001924,0.009905,0.004233,0.002964,0.00557
ct_state_ttl,0.004873,0.002864,0.004475,0.003319,0.004884,0.004693,0.001324,0.020701,0.002519,0.002323,0.00163
trans_depth,0.004596,0.003031,0.006215,0.002492,0.00688,0.004446,0.000795,0.002546,0.002771,0.006165,0.010613
dttl,0.003967,0.003232,0.003131,0.003257,0.008781,0.003799,0.000815,0.012973,0.000727,0.001143,0.001808
spkts,0.00395,0.001393,0.005849,0.003404,0.002959,0.010053,0.002029,0.002753,0.003287,0.00504,0.002731
dpkts,0.003916,0.003455,0.004635,0.002241,0.006124,0.003187,0.001072,0.005435,0.003368,0.005309,0.004332
rate,0.003825,0.002978,0.006339,0.003693,0.003766,0.003549,0.00273,0.002911,0.003912,0.005035,0.003333
dinpkt,0.003758,0.004351,0.004753,0.003368,0.004583,0.006002,0.001735,0.004003,0.002497,0.002919,0.003365
sinpkt,0.003694,0.002957,0.006809,0.003819,0.004063,0.005434,0.001744,0.00235,0.00396,0.003488,0.002315
dur,0.003683,0.002825,0.006345,0.003243,0.003446,0.004777,0.001978,0.003214,0.00418,0.004319,0.002501
synack,0.003633,0.00209,0.004001,0.002975,0.005938,0.005805,0.000558,0.002472,0.002451,0.002719,0.007317
dloss,0.003475,0.001256,0.002465,0.002214,0.008123,0.004666,0.001101,0.004099,0.003688,0.003509,0.003626
ct_dst_ltm,0.003308,0.004742,0.006582,0.003845,0.002552,0.003041,0.004233,0.00228,0.001853,0.00204,0.001909
ct_flw_http_mthd,0.003076,0.002388,0.002892,0.002165,0.003831,0.003316,0.000561,0.001792,0.002445,0.00438,0.006987
stcpb,0.002927,0.002371,0.003182,0.002652,0.005075,0.002017,0.001144,0.003403,0.00129,0.00186,0.006276
ackdat,0.002759,0.001336,0.002023,0.002064,0.003352,0.003435,0.000721,0.005398,0.001394,0.003745,0.004121
sjit,0.00269,0.001059,0.002297,0.002658,0.003262,0.00475,0.000662,0.002555,0.004441,0.003343,0.001873
response_body_len,0.002603,0.005507,0.001652,0.001746,0.005785,0.002377,0.000369,0.000737,0.001847,0.000265,0.005739
tcprtt,0.002387,0.00135,0.002186,0.002259,0.002135,0.004032,0.000518,0.004177,0.00149,0.002652,0.00307
dtcpb,0.002374,0.001577,0.00239,0.002751,0.002997,0.001839,0.000602,0.001395,0.002012,0.002527,0.005647
swin,0.002288,0.002488,0.003052,0.001923,0.000771,0.001868,0.00142,0.009242,0.000772,0.000694,0.000651
djit,0.002057,0.000741,0.001991,0.002789,0.003109,0.00359,0.000942,0.001953,0.001225,0.001804,0.002421
state,0.00137,0.00126,0.001492,0.001317,0.001481,0.001577,0.000624,0.0033,0.0011,0.000862,0.000689
dwin,0.001047,0.001456,0.001985,0.000939,0.000958,0.001336,0.000228,0.001699,0.000502,0.000851,0.000517
is_sm_ips_ports,0.000155,9.6e-05,0.000174,9.5e-05,9.7e-05,0.000181,3e-05,0.000777,7.1e-05,2.4e-05,8e-06
ct_ftp_cmd,1.3e-05,0.0,1.1e-05,2.2e-05,5e-05,1.4e-05,3e-06,2.4e-05,1e-06,0.0,2e-06
is_ftp_login,1.2e-05,8e-06,5e-06,3e-05,4.4e-05,9e-06,4e-06,1.6e-05,1e-06,0.0,4e-06
