sample_id,row_index,true_class,predicted_class_baseline,predicted_class_smote
SAMPLE_001322,1322,Shellcode,Fuzzers,Shellcode
SAMPLE_001421,1421,Backdoor,Backdoor,Backdoor
SAMPLE_002898,2898,Shellcode,Normal,Shellcode
SAMPLE_002971,2971,Reconnaissance,Backdoor,Backdoor
SAMPLE_003440,3440,Reconnaissance,Exploits,Backdoor
SAMPLE_003662,3662,Worms,Exploits,Worms
SAMPLE_004392,4392,Exploits,Backdoor,Backdoor
SAMPLE_005358,5358,DoS,Backdoor,Backdoor
SAMPLE_005426,5426,Exploits,Backdoor,Backdoor
SAMPLE_005820,5820,Exploits,Analysis,Backdoor
SAMPLE_005989,5989,DoS,DoS,DoS
SAMPLE_006549,6549,DoS,DoS,Backdoor
SAMPLE_006667,6667,Worms,Worms,Worms
SAMPLE_006785,6785,DoS,Backdoor,Backdoor
SAMPLE_006826,6826,DoS,DoS,Backdoor
SAMPLE_007915,7915,DoS,Backdoor,Backdoor
SAMPLE_008612,8612,Exploits,Exploits,Exploits
SAMPLE_009142,9142,Shellcode,Shellcode,Shellcode
SAMPLE_009621,9621,Reconnaissance,Exploits,Reconnaissance
SAMPLE_009715,9715,Shellcode,Shellcode,Shellcode
SAMPLE_009976,9976,Shellcode,Exploits,Shellcode
SAMPLE_013825,13825,Generic,Exploits,Fuzzers
SAMPLE_019447,19447,Generic,Generic,Generic
SAMPLE_028142,28142,Normal,Normal,Normal
SAMPLE_045654,45654,Generic,Exploits,Exploits
SAMPLE_047087,47087,Worms,Exploits,Exploits
SAMPLE_047689,47689,Reconnaissance,Reconnaissance,Reconnaissance
SAMPLE_049881,49881,Fuzzers,Exploits,Backdoor
SAMPLE_050679,50679,Worms,Worms,Worms
SAMPLE_051393,51393,Analysis,Exploits,Backdoor
SAMPLE_051485,51485,Worms,Exploits,Worms
SAMPLE_051814,51814,Fuzzers,Fuzzers,Normal
SAMPLE_052584,52584,Fuzzers,Fuzzers,Fuzzers
SAMPLE_052814,52814,Exploits,Exploits,Exploits
SAMPLE_053319,53319,Backdoor,Exploits,Analysis
SAMPLE_053443,53443,Fuzzers,Exploits,Backdoor
SAMPLE_053459,53459,Analysis,Exploits,Backdoor
SAMPLE_053473,53473,Analysis,Analysis,Analysis
SAMPLE_053614,53614,Analysis,Analysis,Backdoor
SAMPLE_053909,53909,Backdoor,Fuzzers,Fuzzers
SAMPLE_054892,54892,Reconnaissance,Reconnaissance,Reconnaissance
SAMPLE_056155,56155,Fuzzers,Exploits,Backdoor
SAMPLE_056236,56236,Generic,Generic,Generic
SAMPLE_057508,57508,Backdoor,Backdoor,Backdoor
SAMPLE_059252,59252,Analysis,Analysis,Backdoor
SAMPLE_059795,59795,Worms,Worms,Worms
SAMPLE_061118,61118,Backdoor,Exploits,Fuzzers
SAMPLE_061153,61153,Shellcode,Shellcode,Shellcode
SAMPLE_061691,61691,Reconnaissance,Reconnaissance,Reconnaissance
SAMPLE_062389,62389,Generic,Generic,Generic
SAMPLE_063334,63334,Analysis,Exploits,Exploits
SAMPLE_063659,63659,Exploits,Exploits,Analysis
SAMPLE_064260,64260,Generic,Exploits,Exploits
SAMPLE_065138,65138,Backdoor,Backdoor,Backdoor
SAMPLE_065667,65667,Fuzzers,Fuzzers,Fuzzers
SAMPLE_072577,72577,Normal,Fuzzers,Fuzzers
SAMPLE_074943,74943,Normal,Analysis,Analysis
SAMPLE_079624,79624,Normal,Fuzzers,Fuzzers
SAMPLE_080337,80337,Normal,Normal,Normal
SAMPLE_080884,80884,Normal,Normal,Normal
