column,category
id,numerical
dur,numerical
spkts,numerical
dpkts,numerical
sbytes,numerical
dbytes,numerical
rate,numerical
sttl,numerical
dttl,numerical
sload,numerical
dload,numerical
sloss,numerical
dloss,numerical
sinpkt,numerical
dinpkt,numerical
sjit,numerical
djit,numerical
swin,numerical
stcpb,numerical
dtcpb,numerical
dwin,numerical
tcprtt,numerical
synack,numerical
ackdat,numerical
smean,numerical
dmean,numerical
trans_depth,numerical
response_body_len,numerical
ct_srv_src,numerical
ct_state_ttl,numerical
ct_dst_ltm,numerical
ct_src_dport_ltm,numerical
ct_dst_sport_ltm,numerical
ct_dst_src_ltm,numerical
is_ftp_login,numerical
ct_ftp_cmd,numerical
ct_flw_http_mthd,numerical
ct_src_ltm,numerical
ct_srv_dst,numerical
id,integer
spkts,integer
dpkts,integer
sbytes,integer
dbytes,integer
sttl,integer
dttl,integer
sloss,integer
dloss,integer
swin,integer
stcpb,integer
dtcpb,integer
dwin,integer
smean,integer
dmean,integer
trans_depth,integer
response_body_len,integer
ct_srv_src,integer
ct_state_ttl,integer
ct_dst_ltm,integer
ct_src_dport_ltm,integer
ct_dst_sport_ltm,integer
ct_dst_src_ltm,integer
is_ftp_login,integer
ct_ftp_cmd,integer
ct_flw_http_mthd,integer
ct_src_ltm,integer
ct_srv_dst,integer
dur,floating_point
rate,floating_point
sload,floating_point
dload,floating_point
sinpkt,floating_point
dinpkt,floating_point
sjit,floating_point
djit,floating_point
tcprtt,floating_point
synack,floating_point
ackdat,floating_point
proto,categorical
service,categorical
state,categorical
attack_cat,categorical
is_sm_ips_ports,boolean
label,boolean
