column,dtype,missing_count,missing_pct,unique_count
id,int64,0,0.0,175341
dur,float64,0,0.0,74039
proto,object,0,0.0,133
service,object,0,0.0,13
state,object,0,0.0,9
spkts,int64,0,0.0,480
dpkts,int64,0,0.0,443
sbytes,int64,0,0.0,7214
dbytes,int64,0,0.0,6660
rate,float64,0,0.0,76991
sttl,int64,0,0.0,11
dttl,int64,0,0.0,6
sload,float64,0,0.0,80885
dload,float64,0,0.0,77474
sloss,int64,0,0.0,409
dloss,int64,0,0.0,370
sinpkt,float64,0,0.0,76161
dinpkt,float64,0,0.0,74245
sjit,float64,0,0.0,77532
djit,float64,0,0.0,76831
swin,int64,0,0.0,13
stcpb,int64,0,0.0,75265
dtcpb,int64,0,0.0,75089
dwin,int64,0,0.0,7
tcprtt,float64,0,0.0,43319
synack,float64,0,0.0,40142
ackdat,float64,0,0.0,37708
smean,int64,0,0.0,1357
dmean,int64,0,0.0,1328
trans_depth,int64,0,0.0,11
response_body_len,int64,0,0.0,2386
ct_srv_src,int64,0,0.0,52
ct_state_ttl,int64,0,0.0,5
ct_dst_ltm,int64,0,0.0,50
ct_src_dport_ltm,int64,0,0.0,47
ct_dst_sport_ltm,int64,0,0.0,32
ct_dst_src_ltm,int64,0,0.0,54
is_ftp_login,int64,0,0.0,4
ct_ftp_cmd,int64,0,0.0,4
ct_flw_http_mthd,int64,0,0.0,11
ct_src_ltm,int64,0,0.0,50
ct_srv_dst,int64,0,0.0,52
is_sm_ips_ports,int64,0,0.0,2
attack_cat,object,0,0.0,10
label,int64,0,0.0,2
